Timestamp,CPU-usage,Num-processes,Interrupts-per-sec,DSK-write,DSK-read,RAM-percentage,Unique-IPs,Num-sockets,Upload-speed,Download-speed
2024-01-26 20:28:35,9.8,207,6179,655360.0,593920.0,84.8,25,99,6129.0,392.0
2024-01-26 20:50:17,2.2,201,2610,151552.0,0.0,84.2,21,101,620.0,784.0
2024-01-26 20:50:19,12.8,201,5236,147456.0,69632.0,83.9,21,97,496.0,501.0
2024-01-26 20:50:22,1.0,201,3610,196608.0,0.0,83.8,21,97,71.0,67.0
